Disease_Name,Day,Topic,Word,Weight
NSTEMI,-1,Topic_1,DSA(冠脉造影),0.20338963
NSTEMI,-1,Topic_1,肌钙蛋白T,0.20338963
NSTEMI,-1,Topic_1,血脂四项,0.20338963
NSTEMI,-1,Topic_1,环柄注射器,0.016949184
NSTEMI,-1,Topic_1,三联三通板,0.016949184
NSTEMI,-1,Topic_1,心电监测,0.016949182
NSTEMI,-1,Topic_1,肝功五项,0.01694918
NSTEMI,-1,Topic_1,替格瑞洛片,0.01694918
NSTEMI,-1,Topic_1,血气分析,0.01694918
NSTEMI,-1,Topic_1,肾功五项,0.01694918
NSTEMI,-1,Topic_1,DR胸部正位片(床旁),0.01694918
NSTEMI,-1,Topic_1,凝血四项+D-D,0.01694918
NSTEMI,-1,Topic_1,糖化血红蛋白,0.01694918
NSTEMI,-1,Topic_1,尿常规+尿沉渣定量分析,0.016949179
NSTEMI,-1,Topic_1,低盐低脂饮食,0.016949179
NSTEMI,-1,Topic_1,甲功三项,0.016949179
NSTEMI,-1,Topic_1,血氧饱和度监测,0.016949179
NSTEMI,-1,Topic_1,阿司匹林肠溶片,0.016949179
NSTEMI,-1,Topic_1,NT-B型钠尿肽NT-BNP,0.016949179
NSTEMI,-1,Topic_1,肌钙蛋白I,0.016949179
NSTEMI,-1,Topic_1,电解质四项,0.016949179
NSTEMI,-1,Topic_1,血常规五分类+hsCRP,0.016949179
NSTEMI,-1,Topic_1,心内科常规护理,0.016949179
NSTEMI,-1,Topic_1,经皮选择性动脉置管术,0.016949179
NSTEMI,-1,Topic_1,大便常规+隐血,0.016949179
NSTEMI,-1,Topic_1,瑞舒伐他汀钙片,0.016949179
NSTEMI,-1,Topic_2,环柄注射器,0.38843402
NSTEMI,-1,Topic_2,尿常规+尿沉渣定量分析,0.20385496
NSTEMI,-1,Topic_2,三联三通板,0.016987965
NSTEMI,-1,Topic_2,DSA(冠脉造影),0.016987959
NSTEMI,-1,Topic_2,心电监测,0.016987959
NSTEMI,-1,Topic_2,血氧饱和度监测,0.016987959
NSTEMI,-1,Topic_2,DR胸部正位片(床旁),0.016987959
NSTEMI,-1,Topic_2,阿司匹林肠溶片,0.016987959
NSTEMI,-1,Topic_2,甲功三项,0.016987959
NSTEMI,-1,Topic_2,电解质四项,0.016987959
NSTEMI,-1,Topic_2,糖化血红蛋白,0.016987959
NSTEMI,-1,Topic_2,肌钙蛋白T,0.016987959
NSTEMI,-1,Topic_2,替格瑞洛片,0.016987959
NSTEMI,-1,Topic_2,血脂四项,0.016987959
NSTEMI,-1,Topic_2,大便常规+隐血,0.016987959
NSTEMI,-1,Topic_2,NT-B型钠尿肽NT-BNP,0.016987957
NSTEMI,-1,Topic_2,血气分析,0.016987957
NSTEMI,-1,Topic_2,肾功五项,0.016987957
NSTEMI,-1,Topic_2,血常规五分类+hsCRP,0.016987957
NSTEMI,-1,Topic_2,凝血四项+D-D,0.016987957
NSTEMI,-1,Topic_2,心内科常规护理,0.016987957
NSTEMI,-1,Topic_2,经皮选择性动脉置管术,0.016987957
NSTEMI,-1,Topic_2,肝功五项,0.016987957
NSTEMI,-1,Topic_2,瑞舒伐他汀钙片,0.016987957
NSTEMI,-1,Topic_2,肌钙蛋白I,0.016987955
NSTEMI,-1,Topic_2,低盐低脂饮食,0.016987955
NSTEMI,-1,Topic_3,瑞舒伐他汀钙片,0.20338961
NSTEMI,-1,Topic_3,低盐低脂饮食,0.20338961
NSTEMI,-1,Topic_3,肾功五项,0.20338961
NSTEMI,-1,Topic_3,环柄注射器,0.016949184
NSTEMI,-1,Topic_3,三联三通板,0.016949182
NSTEMI,-1,Topic_3,大便常规+隐血,0.016949179
NSTEMI,-1,Topic_3,心电监测,0.016949179
NSTEMI,-1,Topic_3,血氧饱和度监测,0.016949179
NSTEMI,-1,Topic_3,尿常规+尿沉渣定量分析,0.016949179
NSTEMI,-1,Topic_3,阿司匹林肠溶片,0.016949179
NSTEMI,-1,Topic_3,甲功三项,0.016949179
NSTEMI,-1,Topic_3,糖化血红蛋白,0.016949179
NSTEMI,-1,Topic_3,血脂四项,0.016949179
NSTEMI,-1,Topic_3,肝功五项,0.016949179
NSTEMI,-1,Topic_3,NT-B型钠尿肽NT-BNP,0.016949179
NSTEMI,-1,Topic_3,肌钙蛋白I,0.016949179
NSTEMI,-1,Topic_3,替格瑞洛片,0.016949179
NSTEMI,-1,Topic_3,肌钙蛋白T,0.016949179
NSTEMI,-1,Topic_3,血气分析,0.016949179
NSTEMI,-1,Topic_3,电解质四项,0.016949179
NSTEMI,-1,Topic_3,DSA(冠脉造影),0.016949179
NSTEMI,-1,Topic_3,血常规五分类+hsCRP,0.016949179
NSTEMI,-1,Topic_3,DR胸部正位片(床旁),0.016949179
NSTEMI,-1,Topic_3,凝血四项+D-D,0.016949179
NSTEMI,-1,Topic_3,经皮选择性动脉置管术,0.016949179
NSTEMI,-1,Topic_3,心内科常规护理,0.016949177
NSTEMI,-1,Topic_4,血常规五分类+hsCRP,0.20338961
NSTEMI,-1,Topic_4,大便常规+隐血,0.20338961
NSTEMI,-1,Topic_4,替格瑞洛片,0.20338961
NSTEMI,-1,Topic_4,三联三通板,0.016949184
NSTEMI,-1,Topic_4,环柄注射器,0.016949182
NSTEMI,-1,Topic_4,心电监测,0.016949179
NSTEMI,-1,Topic_4,血氧饱和度监测,0.016949179
NSTEMI,-1,Topic_4,尿常规+尿沉渣定量分析,0.016949179
NSTEMI,-1,Topic_4,阿司匹林肠溶片,0.016949179
NSTEMI,-1,Topic_4,甲功三项,0.016949179
NSTEMI,-1,Topic_4,糖化血红蛋白,0.016949179
NSTEMI,-1,Topic_4,血脂四项,0.016949179
NSTEMI,-1,Topic_4,肝功五项,0.016949179
NSTEMI,-1,Topic_4,NT-B型钠尿肽NT-BNP,0.016949179
NSTEMI,-1,Topic_4,肌钙蛋白T,0.016949179
NSTEMI,-1,Topic_4,血气分析,0.016949179
NSTEMI,-1,Topic_4,电解质四项,0.016949179
NSTEMI,-1,Topic_4,肾功五项,0.016949179
NSTEMI,-1,Topic_4,DR胸部正位片(床旁),0.016949179
NSTEMI,-1,Topic_4,凝血四项+D-D,0.016949179
NSTEMI,-1,Topic_4,心内科常规护理,0.016949179
NSTEMI,-1,Topic_4,经皮选择性动脉置管术,0.016949179
NSTEMI,-1,Topic_4,DSA(冠脉造影),0.016949179
NSTEMI,-1,Topic_4,肌钙蛋白I,0.016949179
NSTEMI,-1,Topic_4,瑞舒伐他汀钙片,0.016949179
NSTEMI,-1,Topic_4,低盐低脂饮食,0.016949177
NSTEMI,-1,Topic_5,阿司匹林肠溶片,0.17142841
NSTEMI,-1,Topic_5,心内科常规护理,0.17142841
NSTEMI,-1,Topic_5,电解质四项,0.17142841
NSTEMI,-1,Topic_5,DR胸部正位片(床旁),0.1714284
NSTEMI,-1,Topic_5,三联三通板,0.014285749
